Tenure,Age,Category,Gender,Department,Dept_Ratio,Amount,Class
379,35,2,1,29,0.195,20.1415,Non-active
900,29,2,0,33,0.155,20.1415,Non-active
784,24,2,1,33,0.155,20.1415,Non-active
254,23,2,1,28,0.046,20.1415,Non-active
1309,30,0,1,17,0.03,32.2736,Non-active
82,28,2,1,1,0.019,20.1415,Non-active
9,32,2,1,38,0.012,25.1385,Non-active
776,21,2,0,14,0.124,20.1415,Non-active
131,22,2,1,14,0.124,20.1415,Non-active
726,25,2,1,39,0.13,22.008,Non-active
1461,24,2,1,39,0.13,21.3228,Non-active
726,26,2,0,39,0.13,21.3228,Non-active
1506,23,2,0,39,0.13,21.3228,Active
